PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
401.1,Essential hypertension,circulatory system,OPGS003435,0.113,Nightingale,Free cholesterol in medium LDL,1.02 (1.01 1.02),1.52E-05
401.1,Essential hypertension,circulatory system,OPGS003436,0.111,Nightingale,Phospholipids in large LDL,1.02 (1.01 1.02),1.54E-05
401.1,Essential hypertension,circulatory system,OPGS003428,0.121,Nightingale,Total lipids in small LDL,1.02 (1.01 1.02),1.78E-05
401.1,Essential hypertension,circulatory system,OPGS003419,0.134,Nightingale,Cholesteryl esters in small LDL,1.02 (1.01 1.02),1.94E-05
401.1,Essential hypertension,circulatory system,OPGS003437,0.110,Nightingale,Phospholipids in very small VLDL,1.02 (1.01 1.02),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS003441,0.104,Nightingale,Phospholipids in medium LDL,1.02 (1.01 1.02),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS003431,0.118,Nightingale,Total lipids in large LDL,1.02 (1.01 1.02),2.75E-05
401.1,Essential hypertension,circulatory system,OPGS003425,0.122,Nightingale,Cholesterol in large LDL,1.02 (1.01 1.02),2.90E-05
401.1,Essential hypertension,circulatory system,OPGS003446,0.097,Nightingale,Phospholipids in small LDL,1.02 (1.01 1.02),3.33E-05
401.1,Essential hypertension,circulatory system,OPGS003520,0.062,Nightingale,HDL cholesterol,0.98 (0.98 0.99),3.51E-05
401.1,Essential hypertension,circulatory system,OPGS003503,0.070,Nightingale,Phospholipids in large HDL,0.98 (0.98 0.99),3.67E-05
401.1,Essential hypertension,circulatory system,OPGS003434,0.113,Nightingale,Phospholipids in IDL,1.02 (1.01 1.02),4.20E-05
401.1,Essential hypertension,circulatory system,OPGS003420,0.129,Nightingale,Cholesterol in small LDL,1.02 (1.01 1.02),4.44E-05
401.1,Essential hypertension,circulatory system,OPGS003423,0.126,Nightingale,LDL cholesterol,1.02 (1.01 1.02),4.44E-05
401.1,Essential hypertension,circulatory system,OPGS003424,0.122,Nightingale,Total lipids in medium LDL,1.02 (1.01 1.02),5.42E-05
401.1,Essential hypertension,circulatory system,OPGS003442,0.103,Nightingale,Free cholesterol in small LDL,1.02 (1.01 1.02),5.43E-05
401.1,Essential hypertension,circulatory system,OPGS003429,0.121,Nightingale,Cholesteryl esters in large LDL,1.01 (1.01 1.02),5.70E-05
401.1,Essential hypertension,circulatory system,OPGS003432,0.116,Nightingale,Free cholesterol in IDL,1.01 (1.01 1.02),7.32E-05
401.1,Essential hypertension,circulatory system,OPGS003426,0.121,Nightingale,Free cholesterol in large LDL,1.01 (1.01 1.02),9.33E-05
401.1,Essential hypertension,circulatory system,OPGS003501,0.070,Nightingale,Cholesterol in small VLDL,1.01 (1.01 1.02),9.56E-05
401.1,Essential hypertension,circulatory system,OPGS003439,0.107,Nightingale,Concentration of IDL particles,1.01 (1.01 1.02),1.15E-04
401.1,Essential hypertension,circulatory system,OPGS003456,0.086,Nightingale,Free cholesterol in very small VLDL,1.01 (1.01 1.02),1.22E-04
401.1,Essential hypertension,circulatory system,OPGS003422,0.126,Nightingale,Cholesterol in medium LDL,1.01 (1.01 1.02),1.58E-04
401.1,Essential hypertension,circulatory system,OPGS003448,0.093,Nightingale,Phospholipids in very large HDL,0.99 (0.98 0.99),1.93E-04
401.1,Essential hypertension,circulatory system,OPGS003421,0.128,Nightingale,Cholesteryl esters in medium LDL,1.01 (1.01 1.02),1.97E-04
401.1,Essential hypertension,circulatory system,OPGS003485,0.074,Nightingale,Cholesterol in very small VLDL,1.01 (1.01 1.02),2.60E-04
401.1,Essential hypertension,circulatory system,OPGS003440,0.106,Nightingale,Cholesterol in IDL,1.01 (1.01 1.02),2.63E-04
401.1,Essential hypertension,circulatory system,OPGS003438,0.109,Nightingale,Total lipids in IDL,1.01 (1.01 1.02),2.80E-04
401.1,Essential hypertension,circulatory system,OPGS003518,0.065,Nightingale,Triglycerides in medium HDL,1.01 (1.01 1.02),2.84E-04
401.1,Essential hypertension,circulatory system,OPGS003443,0.102,Nightingale,Cholesteryl esters in IDL,1.01 (1.01 1.02),3.13E-04
401.1,Essential hypertension,circulatory system,OPGS003465,0.081,Nightingale,Triglycerides in small VLDL,1.01 (1.01 1.02),7.62E-04
401.1,Essential hypertension,circulatory system,OPGS003538,0.030,Nightingale,Cholesteryl esters in medium HDL,0.99 (0.98 0.99),9.22E-04
401.1,Essential hypertension,circulatory system,OPGS003539,0.029,Nightingale,Cholesterol in medium HDL,0.99 (0.98 0.99),1.46E-03
401.1,Essential hypertension,circulatory system,OPGS003484,0.075,Nightingale,Triglycerides in HDL,1.01 (1.01 1.02),2.53E-03
401.1,Essential hypertension,circulatory system,OPGS003488,0.074,Nightingale,VLDL cholesterol,1.01 (1.01 1.02),2.84E-03
401.1,Essential hypertension,circulatory system,OPGS003515,0.066,Nightingale,Cholesteryl esters in very small VLDL,1.01 (1.01 1.02),3.09E-03
401.1,Essential hypertension,circulatory system,OPGS003445,0.100,Nightingale,Glycine,0.99 (0.98 0.99),3.24E-03
401.1,Essential hypertension,circulatory system,OPGS003455,0.087,Nightingale,Total free cholesterol,1.01 (1.01 1.02),4.06E-03
401.1,Essential hypertension,circulatory system,OPGS003486,0.074,Nightingale,Total triglycerides,1.01 (1.01 1.02),5.66E-03
401.1,Essential hypertension,circulatory system,OPGS003543,0.028,Nightingale,Total lipids in medium HDL,0.99 (0.98 0.99),5.97E-03
401.1,Essential hypertension,circulatory system,OPGS003523,0.062,Nightingale,Total fatty acids,1.01 (1.01 1.02),6.09E-03
401.1,Essential hypertension,circulatory system,OPGS003544,0.027,Nightingale,Concentration of medium HDL particles,0.99 (0.98 1.00),1.07E-02
401.1,Essential hypertension,circulatory system,OPGS003525,0.052,Nightingale,Saturated fatty acids,1.01 (1.00 1.02),1.20E-02
401.1,Essential hypertension,circulatory system,OPGS003490,0.073,Nightingale,Free cholesterol in medium VLDL,1.01 (1.00 1.02),1.22E-02
401.1,Essential hypertension,circulatory system,OPGS003461,0.084,Nightingale,Total lipids in very large HDL,0.99 (0.98 1.00),1.50E-02
401.1,Essential hypertension,circulatory system,OPGS003545,0.026,Nightingale,Free cholesterol in medium HDL,0.99 (0.98 1.00),1.90E-02
401.1,Essential hypertension,circulatory system,OPGS003457,0.086,Nightingale,Concentration of very large HDL particles,0.99 (0.98 1.00),2.21E-02
401.1,Essential hypertension,circulatory system,OPGS003476,0.076,Nightingale,Phospholipids in medium VLDL,1.01 (1.00 1.02),2.70E-02
401.1,Essential hypertension,circulatory system,OPGS003479,0.075,Nightingale,Triglycerides in VLDL,1.01 (1.00 1.02),2.73E-02
401.1,Essential hypertension,circulatory system,OPGS003454,0.087,Nightingale,Total esterified cholesterol,1.01 (1.00 1.02),2.96E-02
401.1,Essential hypertension,circulatory system,OPGS003533,0.041,Nightingale,Omega-3 fatty acids,1.01 (1.00 1.02),3.26E-02
401.1,Essential hypertension,circulatory system,OPGS003536,0.034,Nightingale,Docosahexaenoic acid,1.01 (1.00 1.01),3.79E-02
401.1,Essential hypertension,circulatory system,OPGS003542,0.028,Nightingale,Phospholipids in medium HDL,0.99 (0.99 1.00),4.30E-02
401.1,Essential hypertension,circulatory system,OPGS003511,0.068,Nightingale,Polyunsaturated fatty acids,1.01 (1.00 1.01),4.58E-02
401.1,Essential hypertension,circulatory system,OPGS004382,0.374,RNAseq,FES,0.97 (0.96 0.97),6.17E-23
401.1,Essential hypertension,circulatory system,OPGS005063,0.280,RNAseq,TNNT3,0.97 (0.97 0.98),5.14E-17
401.1,Essential hypertension,circulatory system,OPGS007717,0.125,RNAseq,GUCY1A1,0.98 (0.97 0.98),1.79E-11
401.1,Essential hypertension,circulatory system,OPGS013939,0.023,RNAseq,BATF2,1.02 (1.02 1.03),1.19E-10
401.1,Essential hypertension,circulatory system,OPGS011811,0.043,RNAseq,ZBTB46,0.98 (0.97 0.98),2.43E-10
401.1,Essential hypertension,circulatory system,OPGS012171,0.039,RNAseq,TRBV15,0.98 (0.97 0.98),2.88E-10
401.1,Essential hypertension,circulatory system,OPGS009970,0.070,RNAseq,CLDN23,1.02 (1.02 1.03),4.44E-10
401.1,Essential hypertension,circulatory system,OPGS010779,0.057,RNAseq,ACE,1.02 (1.02 1.03),5.26E-10
401.1,Essential hypertension,circulatory system,OPGS005300,0.257,RNAseq,AF131215.6,1.02 (1.02 1.03),5.68E-10
401.1,Essential hypertension,circulatory system,OPGS013472,0.027,RNAseq,STAT1,1.02 (1.02 1.03),5.91E-10
401.1,Essential hypertension,circulatory system,OPGS014301,0.020,RNAseq,RRAS,0.98 (0.97 0.99),1.23E-09
401.1,Essential hypertension,circulatory system,OPGS010417,0.062,RNAseq,PHETA1,0.98 (0.97 0.98),1.60E-09
401.1,Essential hypertension,circulatory system,OPGS014992,0.016,RNAseq,KLF4,0.98 (0.97 0.99),3.78E-09
401.1,Essential hypertension,circulatory system,OPGS006034,0.201,RNAseq,,0.98 (0.97 0.99),1.15E-08
401.1,Essential hypertension,circulatory system,OPGS005704,0.221,RNAseq,AF131215.5,1.02 (1.01 1.03),1.43E-08
401.1,Essential hypertension,circulatory system,OPGS006637,0.169,RNAseq,PCCB,1.02 (1.01 1.03),1.54E-08
401.1,Essential hypertension,circulatory system,OPGS009801,0.073,RNAseq,NOC3L,0.98 (0.97 0.99),2.54E-08
401.1,Essential hypertension,circulatory system,OPGS011108,0.052,RNAseq,LDLR,0.98 (0.98 0.99),6.66E-08
401.1,Essential hypertension,circulatory system,OPGS014866,0.017,RNAseq,ARF1,0.98 (0.98 0.99),7.80E-08
401.1,Essential hypertension,circulatory system,OPGS006619,0.169,RNAseq,,1.02 (1.01 1.02),9.00E-08
401.1,Essential hypertension,circulatory system,OPGS011969,0.042,RNAseq,SIPA1,1.02 (1.01 1.03),9.66E-08
401.1,Essential hypertension,circulatory system,OPGS009320,0.083,RNAseq,ARG2,1.02 (1.01 1.02),1.16E-07
401.1,Essential hypertension,circulatory system,OPGS006712,0.165,RNAseq,SLC22A4,1.02 (1.01 1.02),2.09E-07
401.1,Essential hypertension,circulatory system,OPGS009762,0.074,RNAseq,AC025034.1,0.98 (0.98 0.99),2.52E-07
401.1,Essential hypertension,circulatory system,OPGS008024,0.115,RNAseq,FMNL3,1.02 (1.01 1.02),5.70E-07
401.1,Essential hypertension,circulatory system,OPGS007829,0.121,RNAseq,,1.02 (1.01 1.02),6.78E-07
401.1,Essential hypertension,circulatory system,OPGS010326,0.064,RNAseq,KCNK7,1.02 (1.01 1.02),8.46E-07
401.1,Essential hypertension,circulatory system,OPGS010210,0.066,RNAseq,DCAF16,0.98 (0.98 0.99),9.76E-07
401.1,Essential hypertension,circulatory system,OPGS008677,0.097,RNAseq,CDKN1B,1.02 (1.01 1.02),1.21E-06
401.1,Essential hypertension,circulatory system,OPGS009279,0.084,RNAseq,PKN2-AS1,1.02 (1.01 1.02),1.24E-06
401.1,Essential hypertension,circulatory system,OPGS009237,0.085,RNAseq,C11orf49,0.98 (0.98 0.99),1.24E-06
401.1,Essential hypertension,circulatory system,OPGS009483,0.080,RNAseq,DNAJC5,0.98 (0.98 0.99),1.24E-06
401.1,Essential hypertension,circulatory system,OPGS012787,0.033,RNAseq,FURIN,1.02 (1.01 1.02),1.70E-06
401.1,Essential hypertension,circulatory system,OPGS007394,0.136,RNAseq,AL662844.4,0.98 (0.98 0.99),1.70E-06
401.1,Essential hypertension,circulatory system,OPGS004949,0.293,RNAseq,ILRUN,1.02 (1.01 1.02),1.85E-06
401.1,Essential hypertension,circulatory system,OPGS008402,0.104,RNAseq,TNXB,1.02 (1.01 1.02),2.87E-06
401.1,Essential hypertension,circulatory system,OPGS006919,0.155,RNAseq,AC105233.5,0.98 (0.98 0.99),5.73E-06
401.1,Essential hypertension,circulatory system,OPGS006391,0.181,RNAseq,GTF2I,1.02 (1.01 1.02),5.73E-06
401.1,Essential hypertension,circulatory system,OPGS008033,0.115,RNAseq,SGCB,0.98 (0.98 0.99),9.32E-06
401.1,Essential hypertension,circulatory system,OPGS013344,0.028,RNAseq,NR4A1,0.98 (0.98 0.99),9.60E-06
401.1,Essential hypertension,circulatory system,OPGS008435,0.103,RNAseq,CWF19L2,1.02 (1.01 1.02),1.25E-05
401.1,Essential hypertension,circulatory system,OPGS004134,0.427,RNAseq,H2BC5,1.02 (1.01 1.02),1.25E-05
401.1,Essential hypertension,circulatory system,OPGS008479,0.102,RNAseq,NMT1,1.02 (1.01 1.02),1.39E-05
401.1,Essential hypertension,circulatory system,OPGS005951,0.206,RNAseq,CLCN6,0.98 (0.98 0.99),1.41E-05
401.1,Essential hypertension,circulatory system,OPGS010712,0.058,RNAseq,,0.98 (0.98 0.99),1.52E-05
401.1,Essential hypertension,circulatory system,OPGS008273,0.107,RNAseq,GRK4,1.02 (1.01 1.02),1.54E-05
401.1,Essential hypertension,circulatory system,OPGS009406,0.081,RNAseq,FAM215B,0.98 (0.98 0.99),1.77E-05
401.1,Essential hypertension,circulatory system,OPGS003708,0.594,RNAseq,HSD17B12,0.98 (0.98 0.99),1.77E-05
401.1,Essential hypertension,circulatory system,OPGS008529,0.101,RNAseq,CRIP3,1.02 (1.01 1.02),2.07E-05
401.1,Essential hypertension,circulatory system,OPGS012768,0.033,RNAseq,HMGA1,1.02 (1.01 1.02),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS006306,0.186,RNAseq,CLN8,1.02 (1.01 1.02),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS012841,0.032,RNAseq,ZNF738,0.98 (0.98 0.99),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS007612,0.128,RNAseq,AC074032.1,1.02 (1.01 1.02),2.35E-05
401.1,Essential hypertension,circulatory system,OPGS006728,0.164,RNAseq,CHP1,0.98 (0.98 0.99),2.58E-05
401.1,Essential hypertension,circulatory system,OPGS010624,0.059,RNAseq,TRBV18,1.02 (1.01 1.02),2.59E-05
401.1,Essential hypertension,circulatory system,OPGS003711,0.593,RNAseq,,0.98 (0.98 0.99),3.09E-05
401.1,Essential hypertension,circulatory system,OPGS012793,0.033,RNAseq,ABCF3,1.02 (1.01 1.02),3.26E-05
401.1,Essential hypertension,circulatory system,OPGS008924,0.091,RNAseq,SWAP70,0.98 (0.98 0.99),3.27E-05
401.1,Essential hypertension,circulatory system,OPGS004303,0.388,RNAseq,,0.98 (0.98 0.99),3.51E-05
401.1,Essential hypertension,circulatory system,OPGS006271,0.188,RNAseq,MCC,1.02 (1.01 1.02),3.77E-05
401.1,Essential hypertension,circulatory system,OPGS005336,0.253,RNAseq,ANKRD36,1.02 (1.01 1.02),3.95E-05
401.1,Essential hypertension,circulatory system,OPGS015035,0.016,RNAseq,PLAAT4,1.02 (1.01 1.02),4.14E-05
401.1,Essential hypertension,circulatory system,OPGS004121,0.430,RNAseq,SLC22A5,1.02 (1.01 1.02),4.14E-05
401.1,Essential hypertension,circulatory system,OPGS007852,0.120,RNAseq,NOS3,1.02 (1.01 1.02),4.14E-05
401.1,Essential hypertension,circulatory system,OPGS008631,0.098,RNAseq,BLK,0.99 (0.98 0.99),4.34E-05
401.1,Essential hypertension,circulatory system,OPGS004986,0.288,RNAseq,H3C6,1.01 (1.01 1.02),4.39E-05
401.1,Essential hypertension,circulatory system,OPGS009810,0.073,RNAseq,,1.02 (1.01 1.02),4.39E-05
401.1,Essential hypertension,circulatory system,OPGS011614,0.046,RNAseq,H2BC7,1.02 (1.01 1.02),4.39E-05
401.1,Essential hypertension,circulatory system,OPGS005796,0.215,RNAseq,,1.02 (1.01 1.02),4.64E-05
401.1,Essential hypertension,circulatory system,OPGS012242,0.039,RNAseq,,0.99 (0.98 0.99),4.94E-05
401.1,Essential hypertension,circulatory system,OPGS010614,0.059,RNAseq,USP38,0.99 (0.98 0.99),5.41E-05
401.1,Essential hypertension,circulatory system,OPGS013692,0.025,RNAseq,CAPZA1,0.99 (0.98 0.99),7.14E-05
401.1,Essential hypertension,circulatory system,OPGS006064,0.200,RNAseq,DNTTIP1,0.99 (0.98 0.99),7.30E-05
401.1,Essential hypertension,circulatory system,OPGS013625,0.025,RNAseq,CCDC117,1.01 (1.01 1.02),7.57E-05
401.1,Essential hypertension,circulatory system,OPGS012458,0.036,RNAseq,PRAG1,1.01 (1.01 1.02),7.85E-05
401.1,Essential hypertension,circulatory system,OPGS009688,0.075,RNAseq,H2BC12,0.99 (0.98 0.99),8.33E-05
401.1,Essential hypertension,circulatory system,OPGS014539,0.019,RNAseq,NGFR,0.99 (0.98 0.99),8.57E-05
401.1,Essential hypertension,circulatory system,OPGS013045,0.030,RNAseq,NEU1,1.01 (1.01 1.02),9.56E-05
401.1,Essential hypertension,circulatory system,OPGS011537,0.047,RNAseq,ARFGEF2,1.01 (1.01 1.02),1.01E-04
401.1,Essential hypertension,circulatory system,OPGS012786,0.033,RNAseq,PLAGL2,0.99 (0.98 0.99),1.06E-04
401.1,Essential hypertension,circulatory system,OPGS007063,0.150,RNAseq,CEP170,1.01 (1.01 1.02),1.14E-04
401.1,Essential hypertension,circulatory system,OPGS005829,0.213,RNAseq,MACF1,1.01 (1.01 1.02),1.15E-04
401.1,Essential hypertension,circulatory system,OPGS010019,0.069,RNAseq,STMN3,1.01 (1.01 1.02),1.18E-04
401.1,Essential hypertension,circulatory system,OPGS006610,0.170,RNAseq,,1.01 (1.01 1.02),1.22E-04
401.1,Essential hypertension,circulatory system,OPGS007579,0.129,RNAseq,ACADVL,0.99 (0.98 0.99),1.27E-04
401.1,Essential hypertension,circulatory system,OPGS012628,0.034,RNAseq,RMC1,0.99 (0.98 0.99),1.38E-04
401.1,Essential hypertension,circulatory system,OPGS004311,0.387,RNAseq,ZNF429,0.99 (0.98 0.99),1.38E-04
401.1,Essential hypertension,circulatory system,OPGS007943,0.117,RNAseq,SLC22A1,0.99 (0.98 0.99),1.38E-04
401.1,Essential hypertension,circulatory system,OPGS006368,0.183,RNAseq,TBCK,1.01 (1.01 1.02),1.43E-04
401.1,Essential hypertension,circulatory system,OPGS006341,0.184,RNAseq,AL034550.2,0.99 (0.98 0.99),1.44E-04
401.1,Essential hypertension,circulatory system,OPGS005419,0.245,RNAseq,,1.01 (1.01 1.02),1.61E-04
401.1,Essential hypertension,circulatory system,OPGS006340,0.184,RNAseq,SIK2,1.01 (1.01 1.02),1.64E-04
401.1,Essential hypertension,circulatory system,OPGS005861,0.211,RNAseq,SMN2,0.99 (0.98 0.99),2.07E-04
401.1,Essential hypertension,circulatory system,OPGS009471,0.080,RNAseq,LIMA1,0.99 (0.98 0.99),2.12E-04
401.1,Essential hypertension,circulatory system,OPGS009303,0.083,RNAseq,EBLN3P,1.01 (1.01 1.02),2.15E-04
401.1,Essential hypertension,circulatory system,OPGS006132,0.196,RNAseq,EIF6,0.99 (0.98 0.99),2.18E-04
401.1,Essential hypertension,circulatory system,OPGS006323,0.185,RNAseq,REEP5,1.01 (1.01 1.02),2.27E-04
401.1,Essential hypertension,circulatory system,OPGS010591,0.060,RNAseq,ZZEF1,1.01 (1.01 1.02),2.27E-04
401.1,Essential hypertension,circulatory system,OPGS003889,0.511,RNAseq,ARL14EP,0.99 (0.98 0.99),2.27E-04
401.1,Essential hypertension,circulatory system,OPGS011476,0.047,RNAseq,AP000692.2,1.01 (1.01 1.02),2.38E-04
401.1,Essential hypertension,circulatory system,OPGS006193,0.192,RNAseq,AC091230.1,1.01 (1.01 1.02),2.38E-04
401.1,Essential hypertension,circulatory system,OPGS010014,0.069,RNAseq,LINC02245,1.01 (1.01 1.02),2.56E-04
401.1,Essential hypertension,circulatory system,OPGS005289,0.258,RNAseq,UBA7,0.99 (0.98 0.99),2.59E-04
401.1,Essential hypertension,circulatory system,OPGS004940,0.294,RNAseq,CNOT2-DT,1.01 (1.01 1.02),2.83E-04
401.1,Essential hypertension,circulatory system,OPGS003943,0.486,RNAseq,CLEC18A,0.99 (0.98 0.99),2.84E-04
401.1,Essential hypertension,circulatory system,OPGS006022,0.202,RNAseq,TNFSF12,1.01 (1.01 1.02),2.94E-04
401.1,Essential hypertension,circulatory system,OPGS013762,0.024,RNAseq,CFH,1.01 (1.01 1.02),3.00E-04
401.1,Essential hypertension,circulatory system,OPGS007337,0.138,RNAseq,MED21,1.01 (1.01 1.02),3.03E-04
401.1,Essential hypertension,circulatory system,OPGS005600,0.230,RNAseq,AC022784.1,1.01 (1.01 1.02),3.07E-04
401.1,Essential hypertension,circulatory system,OPGS011162,0.051,RNAseq,CACNA1D,0.99 (0.98 0.99),3.31E-04
401.1,Essential hypertension,circulatory system,OPGS012137,0.040,RNAseq,TIMM17A,1.01 (1.01 1.02),3.39E-04
401.1,Essential hypertension,circulatory system,OPGS014766,0.017,RNAseq,ARHGAP1,1.01 (1.01 1.02),3.47E-04
401.1,Essential hypertension,circulatory system,OPGS008555,0.100,RNAseq,CALCRL,1.01 (1.01 1.02),3.59E-04
401.1,Essential hypertension,circulatory system,OPGS011520,0.047,RNAseq,RRP1B,0.99 (0.98 0.99),3.78E-04
401.1,Essential hypertension,circulatory system,OPGS010337,0.064,RNAseq,GEN1,0.99 (0.98 0.99),3.91E-04
401.1,Essential hypertension,circulatory system,OPGS004630,0.336,RNAseq,RSRC1,0.99 (0.98 0.99),3.92E-04
401.1,Essential hypertension,circulatory system,OPGS009215,0.085,RNAseq,TNK1,0.99 (0.98 0.99),3.92E-04
401.1,Essential hypertension,circulatory system,OPGS003956,0.481,RNAseq,SLC5A11,0.99 (0.98 0.99),3.93E-04
401.1,Essential hypertension,circulatory system,OPGS013645,0.025,RNAseq,PIP4K2B,1.01 (1.01 1.02),3.93E-04
401.1,Essential hypertension,circulatory system,OPGS008807,0.094,RNAseq,ARHGEF40,0.99 (0.98 0.99),4.01E-04
401.1,Essential hypertension,circulatory system,OPGS009030,0.089,RNAseq,TRIB2,1.01 (1.01 1.02),4.02E-04
401.1,Essential hypertension,circulatory system,OPGS007584,0.129,RNAseq,HSD3B7,0.99 (0.98 0.99),4.07E-04
401.1,Essential hypertension,circulatory system,OPGS007641,0.127,RNAseq,CACNA1H,1.01 (1.01 1.02),4.15E-04
401.1,Essential hypertension,circulatory system,OPGS014087,0.022,RNAseq,C13orf46,1.01 (1.01 1.02),4.42E-04
401.1,Essential hypertension,circulatory system,OPGS010693,0.058,RNAseq,TRBV5-1,0.99 (0.98 0.99),4.44E-04
401.1,Essential hypertension,circulatory system,OPGS012056,0.041,RNAseq,DUSP8,1.01 (1.01 1.02),4.55E-04
401.1,Essential hypertension,circulatory system,OPGS011822,0.043,RNAseq,LINC01126,0.99 (0.98 0.99),4.56E-04
401.1,Essential hypertension,circulatory system,OPGS014370,0.020,RNAseq,NHLRC2,1.01 (1.01 1.02),4.61E-04
401.1,Essential hypertension,circulatory system,OPGS005687,0.222,RNAseq,CTSK,0.99 (0.98 0.99),4.61E-04
401.1,Essential hypertension,circulatory system,OPGS004956,0.291,RNAseq,,0.99 (0.98 0.99),4.90E-04
401.1,Essential hypertension,circulatory system,OPGS010700,0.058,RNAseq,DCLRE1B,0.99 (0.98 0.99),5.07E-04
401.1,Essential hypertension,circulatory system,OPGS003664,0.625,RNAseq,,1.01 (1.01 1.02),5.18E-04
401.1,Essential hypertension,circulatory system,OPGS005640,0.226,RNAseq,MSRA,0.99 (0.98 0.99),5.34E-04
401.1,Essential hypertension,circulatory system,OPGS013130,0.030,RNAseq,QPCT,0.99 (0.98 0.99),5.62E-04
401.1,Essential hypertension,circulatory system,OPGS011232,0.050,RNAseq,AL589765.4,1.01 (1.01 1.02),5.62E-04
401.1,Essential hypertension,circulatory system,OPGS011283,0.050,RNAseq,CD248,1.01 (1.01 1.02),5.62E-04
401.1,Essential hypertension,circulatory system,OPGS004677,0.327,RNAseq,SLC18B1,0.99 (0.98 0.99),5.62E-04
401.1,Essential hypertension,circulatory system,OPGS011884,0.043,RNAseq,PRKCE,1.01 (1.01 1.02),5.80E-04
401.1,Essential hypertension,circulatory system,OPGS010702,0.058,RNAseq,TASOR,1.01 (1.01 1.02),6.22E-04
401.1,Essential hypertension,circulatory system,OPGS013350,0.028,RNAseq,ACSS2,1.01 (1.01 1.02),6.26E-04
401.1,Essential hypertension,circulatory system,OPGS007364,0.137,RNAseq,NT5C2,0.99 (0.98 0.99),6.38E-04
401.1,Essential hypertension,circulatory system,OPGS013359,0.028,RNAseq,TM9SF4,1.01 (1.01 1.02),6.43E-04
401.1,Essential hypertension,circulatory system,OPGS014064,0.022,RNAseq,ZBTB34,1.01 (1.01 1.02),6.51E-04
401.1,Essential hypertension,circulatory system,OPGS003859,0.525,RNAseq,POLI,0.99 (0.98 0.99),6.70E-04
401.1,Essential hypertension,circulatory system,OPGS007701,0.125,RNAseq,DHCR24,0.99 (0.98 0.99),6.86E-04
401.1,Essential hypertension,circulatory system,OPGS012174,0.039,RNAseq,LINC01550,1.01 (1.01 1.02),6.87E-04
401.1,Essential hypertension,circulatory system,OPGS011332,0.049,RNAseq,AC010894.5,1.01 (1.01 1.02),6.95E-04
401.1,Essential hypertension,circulatory system,OPGS009727,0.074,RNAseq,GLRX2,0.99 (0.98 0.99),6.95E-04
401.1,Essential hypertension,circulatory system,OPGS011585,0.046,RNAseq,CD8B,1.01 (1.01 1.02),7.09E-04
401.1,Essential hypertension,circulatory system,OPGS003655,0.633,RNAseq,ZNF100,0.99 (0.98 0.99),7.11E-04
401.1,Essential hypertension,circulatory system,OPGS010993,0.054,RNAseq,SNAP47,1.01 (1.01 1.02),7.62E-04
401.1,Essential hypertension,circulatory system,OPGS013108,0.030,RNAseq,CHD6,1.01 (1.01 1.02),7.77E-04
401.1,Essential hypertension,circulatory system,OPGS007847,0.120,RNAseq,,0.99 (0.98 0.99),7.77E-04
401.1,Essential hypertension,circulatory system,OPGS013825,0.024,RNAseq,EFNB2,1.01 (1.01 1.02),7.79E-04
401.1,Essential hypertension,circulatory system,OPGS009563,0.078,RNAseq,CUL2,1.01 (1.01 1.02),7.82E-04
401.1,Essential hypertension,circulatory system,OPGS011020,0.053,RNAseq,HAUS5,1.01 (1.01 1.02),8.08E-04
401.1,Essential hypertension,circulatory system,OPGS007792,0.122,RNAseq,ZKSCAN5,1.01 (1.01 1.02),8.18E-04
401.1,Essential hypertension,circulatory system,OPGS005713,0.220,RNAseq,KANK2,0.99 (0.98 0.99),8.25E-04
401.1,Essential hypertension,circulatory system,OPGS006366,0.183,RNAseq,AC006254.1,1.01 (1.01 1.02),8.38E-04
401.1,Essential hypertension,circulatory system,OPGS011321,0.049,RNAseq,GDF11,1.01 (1.01 1.02),8.46E-04
401.1,Essential hypertension,circulatory system,OPGS006621,0.169,RNAseq,NME7,0.99 (0.98 0.99),8.53E-04
401.1,Essential hypertension,circulatory system,OPGS004468,0.360,RNAseq,AC020656.2,1.01 (1.01 1.02),8.78E-04
401.1,Essential hypertension,circulatory system,OPGS006608,0.170,RNAseq,MFHAS1,1.01 (1.01 1.02),8.84E-04
401.1,Essential hypertension,circulatory system,OPGS005150,0.271,RNAseq,RERE,1.01 (1.01 1.02),8.87E-04
401.1,Essential hypertension,circulatory system,OPGS012115,0.040,RNAseq,AC007566.1,0.99 (0.98 0.99),9.04E-04
401.1,Essential hypertension,circulatory system,OPGS008629,0.098,RNAseq,SMC4,1.01 (1.01 1.02),9.56E-04
401.1,Essential hypertension,circulatory system,OPGS007139,0.146,RNAseq,AC005532.1,0.99 (0.98 0.99),9.63E-04
401.1,Essential hypertension,circulatory system,OPGS007082,0.149,RNAseq,PHIP,1.01 (1.01 1.02),1.02E-03
401.1,Essential hypertension,circulatory system,OPGS004832,0.307,RNAseq,ARHGAP15,0.99 (0.98 0.99),1.02E-03
401.1,Essential hypertension,circulatory system,OPGS014774,0.017,RNAseq,SMARCD1,0.99 (0.98 0.99),1.04E-03
